Location ID,Store Name,Store Number,Chain Name,Division Number,Address,City,State,Full Address,ZIP Code,isVerified,Latitude,Longitude
09700332,Harris Teeter - Blue Ridge,00332,HART,97,545 Radford Ln Bldg A,CHARLOTTESVILLE,VA,"545 Radford Ln Bldg A, CHARLOTTESVILLE, VA, USA",22903,True,38.0506334,-78.6821198
02900515,Kroger Marketplace - Rutland Marketplace,00515,KROGER,29,9351 Atlee Rd,Mechanicsville,VA,"9351 Atlee Rd, Mechanicsville, VA, USA",23116,True,37.6526102,-77.40100869999999
02900517,Kroger - Short Pump,00517,KROGER,29,11895 W Broad St,Richmond,VA,"11895 W Broad St, Richmond, VA, USA",23233,True,37.65307019999999,-77.6253315
02900519,Kroger Marketplace - Staples Mill Marketplace,00519,KROGER,29,9000 Staples Mill Rd,Henrico,VA,"9000 Staples Mill Rd, Henrico, VA, USA",23228,True,37.6371583,-77.51446609999999
02900500,Kroger - West Broad,00500,KROGER,29,9480 W Broad St,Henrico,VA,"9480 W Broad St, Henrico, VA, USA",23294,True,37.6408551,-77.55543469999999
02900510,Kroger - Mechanicsville,00510,KROGER,29,6335 Mechanicsville Tpke,Mechanicsville,VA,"6335 Mechanicsville Tpke, Mechanicsville, VA, USA",23111,True,37.6147432,-77.3193843
02900525,Kroger - Eastridge,00525,KROGER,29,1510 Eastridge Rd,Richmond,VA,"1510 Eastridge Rd, Richmond, VA, USA",23229,True,37.6026605,-77.5618329
02900503,Kroger - Gayton Crossing,00503,KROGER,29,1356 Gaskins Rd,Richmond,VA,"1356 Gaskins Rd, Richmond, VA, USA",23233,True,37.6065412,-77.592091
02900509,Kroger - Willow Lawn,00509,KROGER,29,1601 Willow Lawn Dr Ste 1,Richmond,VA,"1601 Willow Lawn Dr Ste 1, Richmond, VA, USA",23230,True,37.5815697,-77.49843059999999
02900511,Kroger - Lombardy,00511,KROGER,29,901 N Lombardy St,Richmond,VA,"901 N Lombardy St, Richmond, VA, USA",23219,True,37.5549971,-77.45486100000001
02900504,Kroger - Carytown,00504,KROGER,29,3507 W Cary St,Richmond,VA,"3507 W Cary St, Richmond, VA, USA",23221,True,37.5543565,-77.4879426
02900502,Kroger - Laburnum,00502,KROGER,29,4816 S Laburnum Ave,Richmond,VA,"4816 S Laburnum Ave, Richmond, VA, USA",23231,True,37.5198127,-77.3519671
02900505,Kroger - Bellgrade,00505,KROGER,29,3001 Polo Pkwy,Midlothian,VA,"3001 Polo Pkwy, Midlothian, VA, USA",23113,True,37.5259092,-77.60868169999999
02900514,Kroger Marketplace - Stonebridge,00514,KROGER,29,7000 Tim Price Way,North Chesterfield,VA,"7000 Tim Price Way, North Chesterfield, VA, USA",23225,True,37.4988062,-77.528263
02900501,Kroger - Hicks,00501,KROGER,29,2821 Hicks Rd,North Chesterfield,VA,"2821 Hicks Rd, North Chesterfield, VA, USA",23235,True,37.4617461,-77.54859689999999
02900523,Kroger - Midlothian,00523,KROGER,29,14101 Midlothian Tpke,Midlothian,VA,"14101 Midlothian Tpke, Midlothian, VA, USA",23113,True,37.505607,-77.66311879999999
09700356,Harris Teeter - Lightfoot Marketplace,00356,HART,97,6485 Centerville Rd,Williamsburg,VA,"6485 Centerville Rd, Williamsburg, VA, USA",23188,True,37.3390713,-76.75762809999999
02900520,Kroger - Breckenridge,00520,KROGER,29,12726 Route 1,Chester,VA,"12726 Route 1, Chester, VA, USA",23831,True,37.3521345,-77.41473529999999
02900512,Kroger - Swift Creek,00512,KROGER,29,13201 Rittenhouse Dr,Midlothian,VA,"13201 Rittenhouse Dr, Midlothian, VA, USA",23112,True,37.41572,-77.6401389
02900524,Kroger Marketplace - Iron Bridge Marketplace,00524,KROGER,29,10800 Iron Bridge Rd,Chester,VA,"10800 Iron Bridge Rd, Chester, VA, USA",23831,True,37.3684015,-77.5006446
09700462,Harris Teeter - Governors Green,00462,HART,97,4511 John Tyler Hwy,Williamsburg,VA,"4511 John Tyler Hwy, Williamsburg, VA, USA",23185,True,37.2509781,-76.76414729999999
02900577,Kroger - Hayes Kroger,00577,KROGER,29,7254 Hayes Shopping Ctr,Hayes,VA,"7254 Hayes Shopping Ctr, Hayes, VA, USA",23072,True,37.293902,-76.51156999999999
09700320,Harris Teeter - Quarterpath Crossing,00320,HART,97,1470 Quarterpath Rd,Williamsburg,VA,"1470 Quarterpath Rd, Williamsburg, VA, USA",23185,True,37.2486605,-76.6866582
02900573,Kroger - Grafton Kroger,00573,KROGER,29,6500 George Washington Mem Hwy Ste C,Grafton,VA,"6500 George Washington Mem Hwy Ste C, Grafton, VA, USA",23692,True,37.1729838,-76.4728648
02900555,Kroger - Kiln Creek Kroger,00555,KROGER,29,5007 Victory Blvd,Yorktown,VA,"5007 Victory Blvd, Yorktown, VA, USA",23693,True,37.1130179,-76.4685757
09700006,Harris Teeter - Warwick Blvd,00006,HART,97,12404 Warwick Blvd,Newport News,VA,"12404 Warwick Blvd, Newport News, VA, USA",23606,True,37.0684713,-76.4915778
09700460,Harris Teeter - Willow Oaks Village Square,00460,HART,97,227 Fox Hill Rd Ste A01,Hampton,VA,"227 Fox Hill Rd Ste A01, Hampton, VA, USA",23669,True,37.0576884,-76.32808949999999
02900543,Kroger - Hampton,00543,KROGER,29,1050 W Mercury Blvd,Hampton,VA,"1050 W Mercury Blvd, Hampton, VA, USA",23666,True,37.04449049999999,-76.383093
02900575,Kroger - Smithfield Kroger,00575,KROGER,29,1282 Smithfield Plz,Smithfield,VA,"1282 Smithfield Plz, Smithfield, VA, USA",23430,True,36.955812,-76.60342299999999
09700461,Harris Teeter - Ocean View,00461,HART,97,179 W Ocean View Ave,Norfolk,VA,"179 W Ocean View Ave, Norfolk, VA, USA",23503,True,36.9543722,-76.2537957
02900228,Kroger - Downtown Waynesboro,00228,KROGER,29,245 Arch Ave,Waynesboro,VA,"245 Arch Ave, Waynesboro, VA, USA",22980,True,38.0656452,-78.88833029999999
09700007,Harris Teeter Fuel - Norfolk Fuel,00007,HART,97,7726 Granby St,Norfolk,VA,"7726 Granby St, Norfolk, VA, USA",23505,True,36.917342,-76.2711356
09700407,Harris Teeter - K-K Square at Wards Corner,00407,HART,97,7550 Granby St,Norfolk,VA,"7550 Granby St, Norfolk, VA, USA",23505,True,36.9139363,-76.27093289999999
02900554,Kroger Marketplace - University Suffolk,00554,KROGER,29,1017 University Blvd,Suffolk,VA,"1017 University Blvd, Suffolk, VA, USA",23435,True,36.8719857,-76.4203331
02900532,Kroger - Shore Drive,00532,KROGER,29,4625 Shore Dr,Virginia Beach,VA,"4625 Shore Dr, Virginia Beach, VA, USA",23455,True,36.9034918,-76.1318651
09700463,Harris Teeter - Bennetts Creek Crossing,00463,HART,97,3575 Bridge Rd,Suffolk,VA,"3575 Bridge Rd, Suffolk, VA, USA",23435,True,36.8609529,-76.46708579999999
09700315,Harris Teeter - Churchland Marketplace,00315,HART,97,3249 Tyre Neck Rd,PORTSMOUTH,VA,"3249 Tyre Neck Rd, PORTSMOUTH, VA, USA",23703,True,36.8622903,-76.3943848
09700378,Harris Teeter - Ghent,00378,HART,97,1320 Colonial Ave,Norfolk,VA,"1320 Colonial Ave, Norfolk, VA, USA",23517,True,36.8649408,-76.2925169
09700464,Harris Teeter - Haygood Shopping Center,00464,HART,97,1069 Independence Blvd,Virginia Beach,VA,"1069 Independence Blvd, Virginia Beach, VA, USA",23455,True,36.8743677,-76.1364425
02900542,Kroger - Portsmouth Kroger,00542,KROGER,29,1301 Frederick Blvd,Portsmouth,VA,"1301 Frederick Blvd, Portsmouth, VA, USA",23707,True,36.8277351,-76.336379
09700459,Harris Teeter - Great Neck Square,00459,HART,97,2110 Great Neck Sq,Virginia Beach,VA,"2110 Great Neck Sq, Virginia Beach, VA, USA",23454,True,36.8754906,-76.03762259999999
02900539,Kroger - Kroger King Richard,00539,KROGER,29,3330 Virginia Beach Blvd,Virginia Beach,VA,"3330 Virginia Beach Blvd, Virginia Beach, VA, USA",23452,True,36.8427959,-76.08801369999999
09700161,Harris Teeter - Princess Anne Plaza,00161,HART,97,3333 Virginia Beach Blvd,Virginia Beach,VA,"3333 Virginia Beach Blvd, Virginia Beach, VA, USA",23452,True,36.8410101,-76.0864751
02900533,Kroger - Republic Road,00533,KROGER,29,1800 Republic Rd,Virginia Beach,VA,"1800 Republic Rd, Virginia Beach, VA, USA",23454,True,36.8522989,-76.0280393
09700181,Harris Teeter - Arctic Avenue,00181,HART,97,2800 Arctic Ave,Virginia Beach,VA,"2800 Arctic Ave, Virginia Beach, VA, USA",23451,True,36.8557062,-75.98103979999999
02900343,Kroger - Staunton,00343,KROGER,29,850 Statler Blvd,Staunton,VA,"850 Statler Blvd, Staunton, VA, USA",24401,True,38.13910449999999,-79.06743949999999
